Gss year for this respondent                       ,Respondent id number,Respondents sex,"Region of residence, age 16",Total family income,General happiness,Happiness of marriage
1982,1007,Male,W. nor. central,$25000 or more,Pretty happy,Not applicable
1982,1008,Female,W. nor. central,$25000 or more,Very happy,Very happy
1982,1009,Female,W. nor. central,$25000 or more,Very happy,Pretty happy
1982,1010,Female,W. nor. central,$25000 or more,Pretty happy,Very happy
1982,1011,Female,E. sou. central,$25000 or more,Very happy,No answer
1982,1012,Male,South atlantic,$20000 - 24999,Pretty happy,Very happy
1982,1013,Male,Foreign,$10000 - 14999,Pretty happy,Very happy
1982,1014,Female,Middle atlantic,$10000 - 14999,Very happy,Very happy
1982,1015,Male,South atlantic,$15000 - 19999,Pretty happy,Pretty happy
1982,1016,Male,South atlantic,$25000 or more,Very happy,Very happy
1982,1017,Female,South atlantic,$25000 or more,Very happy,Very happy
1982,1018,Female,New england,$25000 or more,Very happy,Very happy
1982,1019,Female,South atlantic,$20000 - 24999,Very happy,Very happy
1982,1020,Female,Middle atlantic,$15000 - 19999,Pretty happy,Not applicable
1982,1021,Female,Foreign,$25000 or more,Pretty happy,Pretty happy
1982,1022,Male,South atlantic,$15000 - 19999,Pretty happy,Pretty happy
1982,1023,Female,South atlantic,$15000 - 19999,Pretty happy,Not applicable
1982,1024,Female,Middle atlantic,$10000 - 14999,Pretty happy,Pretty happy
1982,1025,Female,South atlantic,$20000 - 24999,Pretty happy,Very happy
1982,1026,Male,South atlantic,$25000 or more,Pretty happy,Very happy
1982,1027,Female,South atlantic,$15000 - 19999,Pretty happy,Very happy
1982,1028,Female,E. sou. central,$15000 - 19999,Very happy,Very happy
1982,1029,Female,South atlantic,$25000 or more,Very happy,Very happy
1982,1030,Male,South atlantic,$4000 to 4999,Pretty happy,Not applicable
1982,1031,Male,South atlantic,$5000 to 5999,Pretty happy,Not applicable
1982,1032,Male,South atlantic,$5000 to 5999,Pretty happy,Not applicable
1982,1033,Female,South atlantic,$5000 to 5999,Very happy,Not applicable
1982,1034,Female,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1982,1035,Male,South atlantic,$10000 - 14999,Very happy,Very happy
1982,1036,Male,South atlantic,$25000 or more,Pretty happy,Pretty happy
1982,1037,Male,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1982,1038,Female,South atlantic,$15000 - 19999,Very happy,Very happy
1982,1039,Male,South atlantic,$25000 or more,Pretty happy,Not applicable
1982,1040,Male,E. nor. central,$25000 or more,Very happy,Not applicable
1982,1041,Male,South atlantic,$10000 - 14999,Very happy,Very happy
1982,1042,Female,South atlantic,$8000 to 9999,Pretty happy,Not applicable
1982,1043,Female,South atlantic,$25000 or more,Pretty happy,Pretty happy
1982,1044,Male,South atlantic,$25000 or more,Pretty happy,Not applicable
1982,1045,Male,South atlantic,$15000 - 19999,Pretty happy,Very happy
1982,1046,Female,South atlantic,$4000 to 4999,Pretty happy,Pretty happy
1982,1047,Female,South atlantic,$10000 - 14999,Not too happy,Not too happy
1982,1048,Female,E. nor. central,$6000 to 6999,Very happy,Very happy
1982,1049,Male,South atlantic,$25000 or more,Pretty happy,Very happy
1982,1050,Female,South atlantic,$25000 or more,Pretty happy,Very happy
1982,1051,Female,E. nor. central,$3000 to 3999,Pretty happy,Very happy
1982,1052,Female,E. nor. central,Don't know,Pretty happy,Very happy
1982,1053,Female,South atlantic,$10000 - 14999,Pretty happy,Very happy
1982,1054,Male,South atlantic,$10000 - 14999,Not too happy,Not applicable
1982,1055,Female,E. nor. central,$15000 - 19999,Not too happy,Very happy
1982,1056,Female,E. nor. central,Don't know,Very happy,Not applicable
1982,1057,Female,South atlantic,$10000 - 14999,Pretty happy,Not applicable
1982,1058,Female,South atlantic,$10000 - 14999,Pretty happy,Not applicable
1982,1059,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1982,1060,Male,Foreign,$20000 - 24999,Very happy,Very happy
1982,1061,Male,South atlantic,$10000 - 14999,Pretty happy,Pretty happy
1982,1062,Male,South atlantic,$8000 to 9999,Not too happy,Not applicable
1982,1063,Female,South atlantic,$3000 to 3999,Not too happy,Not applicable
1982,1064,Female,South atlantic,$4000 to 4999,Pretty happy,Not applicable
1982,1065,Male,South atlantic,$25000 or more,Pretty happy,Not applicable
1982,1066,Female,E. sou. central,$25000 or more,Pretty happy,Pretty happy
1982,1067,Female,E. sou. central,$25000 or more,Very happy,Very happy
1982,1068,Female,E. sou. central,$10000 - 14999,Very happy,Not applicable
1982,1069,Male,E. sou. central,$1000 to 2999,Not too happy,Not applicable
1982,1070,Male,South atlantic,$10000 - 14999,Pretty happy,Very happy
1982,1071,Female,E. sou. central,$10000 - 14999,Very happy,Very happy
1982,1072,Male,E. sou. central,$25000 or more,Very happy,Not applicable
1982,1073,Female,E. sou. central,$15000 - 19999,Very happy,Pretty happy
1982,1074,Female,E. sou. central,$15000 - 19999,Pretty happy,Not applicable
1982,1075,Female,E. sou. central,$10000 - 14999,Not too happy,Pretty happy
1982,1076,Female,E. sou. central,$10000 - 14999,Pretty happy,Not applicable
1982,1077,Male,Middle atlantic,$20000 - 24999,Very happy,Pretty happy
1982,1078,Male,E. sou. central,$25000 or more,Very happy,Very happy
1982,1079,Female,W. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,1080,Female,E. sou. central,$5000 to 5999,Pretty happy,Not applicable
1982,1081,Female,E. sou. central,$10000 - 14999,Pretty happy,Very happy
1982,1082,Male,E. sou. central,$15000 - 19999,Pretty happy,Very happy
1982,1083,Female,W. sou. central,$15000 - 19999,Pretty happy,Pretty happy
1982,1084,Female,E. sou. central,$10000 - 14999,Very happy,Very happy
1982,1085,Female,E. sou. central,$15000 - 19999,Pretty happy,Very happy
1982,1086,Male,E. sou. central,$20000 - 24999,Very happy,Very happy
1982,1087,Female,E. sou. central,$25000 or more,Not too happy,Don't know
1982,1088,Female,E. sou. central,$20000 - 24999,Very happy,Not applicable
1982,1089,Female,E. sou. central,$25000 or more,Very happy,Very happy
1982,1090,Male,E. sou. central,$25000 or more,Pretty happy,Pretty happy
1982,1091,Male,E. sou. central,$20000 - 24999,Very happy,Very happy
1982,1092,Male,E. sou. central,$25000 or more,Pretty happy,Not applicable
1982,1093,Female,E. sou. central,Don't know,Not too happy,Not applicable
1982,1094,Male,E. sou. central,$10000 - 14999,Pretty happy,Not applicable
1982,1095,Female,E. sou. central,Don't know,Pretty happy,Not applicable
1982,1096,Female,E. sou. central,Refused,Very happy,Very happy
1982,1097,Male,Mountain,Refused,Very happy,Very happy
1982,1098,Female,E. nor. central,$20000 - 24999,Pretty happy,Not applicable
1982,1099,Male,South atlantic,$15000 - 19999,Pretty happy,Very happy
1982,1100,Female,E. sou. central,$15000 - 19999,Very happy,Not applicable
1982,1101,Male,E. sou. central,$15000 - 19999,Very happy,Very happy
1982,1102,Male,E. sou. central,$10000 - 14999,Pretty happy,Not applicable
1982,1103,Female,E. sou. central,$10000 - 14999,Pretty happy,Not applicable
1982,1104,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1982,1105,Female,E. sou. central,$25000 or more,Pretty happy,Very happy
1982,1106,Female,South atlantic,$25000 or more,Very happy,Not applicable
1982,1107,Female,E. nor. central,$25000 or more,Pretty happy,Very happy
1982,1108,Male,E. nor. central,$25000 or more,Pretty happy,Not applicable
1982,1109,Male,South atlantic,$8000 to 9999,Very happy,Not applicable
1982,1110,Female,W. sou. central,$15000 - 19999,Pretty happy,Not applicable
1982,1111,Female,W. sou. central,$10000 - 14999,Pretty happy,Very happy
1982,1112,Male,E. nor. central,Refused,Very happy,Not applicable
1982,1113,Female,W. sou. central,Don't know,Pretty happy,Not applicable
1982,1114,Female,W. sou. central,Lt $1000,Pretty happy,Not applicable
1982,1115,Female,W. sou. central,$7000 to 7999,Pretty happy,Not applicable
1982,1116,Female,W. sou. central,Lt $1000,Pretty happy,Not applicable
1982,1117,Male,W. sou. central,$8000 to 9999,Pretty happy,Not applicable
1982,1118,Female,W. sou. central,$3000 to 3999,Pretty happy,Not applicable
1982,1119,Female,W. sou. central,$25000 or more,Pretty happy,Pretty happy
1982,1120,Male,W. sou. central,$10000 - 14999,Pretty happy,Very happy
1982,1121,Female,Mountain,$1000 to 2999,Very happy,Not applicable
1982,1122,Female,W. sou. central,$20000 - 24999,Very happy,Not applicable
1982,1123,Female,W. sou. central,$15000 - 19999,Pretty happy,Don't know
1982,1124,Male,W. sou. central,$10000 - 14999,Not too happy,Not applicable
1982,1125,Male,W. sou. central,Lt $1000,Not too happy,Very happy
1982,1126,Female,W. sou. central,$25000 or more,Very happy,Very happy
1982,1127,Female,W. sou. central,$25000 or more,Very happy,Very happy
1982,1128,Male,E. sou. central,$15000 - 19999,Pretty happy,Not applicable
1982,1129,Male,W. sou. central,$20000 - 24999,Pretty happy,Not applicable
1982,1130,Female,W. sou. central,$8000 to 9999,Pretty happy,Not applicable
1982,1131,Female,W. sou. central,$5000 to 5999,Pretty happy,Not applicable
1982,1132,Female,W. sou. central,$4000 to 4999,Pretty happy,Not applicable
1982,1133,Male,Foreign,$10000 - 14999,Not too happy,Not applicable
1982,1134,Female,W. sou. central,$25000 or more,Pretty happy,Very happy
1982,1135,Female,W. sou. central,$20000 - 24999,Pretty happy,Not applicable
1982,1136,Male,W. sou. central,$20000 - 24999,Pretty happy,Very happy
1982,1137,Female,E. nor. central,$20000 - 24999,Pretty happy,Very happy
1982,1138,Male,W. nor. central,$10000 - 14999,Not too happy,Very happy
1982,1139,Female,W. sou. central,$25000 or more,Very happy,Very happy
1982,1140,Female,W. sou. central,$8000 to 9999,Very happy,Very happy
1982,1141,Female,W. sou. central,$10000 - 14999,Pretty happy,Don't know
1982,1142,Male,W. sou. central,$10000 - 14999,Pretty happy,Not applicable
1982,1143,Female,W. sou. central,$3000 to 3999,Very happy,Pretty happy
1982,1144,Female,Mountain,$6000 to 6999,Not too happy,Not applicable
1982,1145,Female,New england,$3000 to 3999,Pretty happy,Not applicable
1982,1146,Female,Mountain,Lt $1000,Not too happy,Very happy
1982,1147,Male,Pacific,$7000 to 7999,Pretty happy,Very happy
1982,1148,Female,Mountain,$15000 - 19999,Pretty happy,Pretty happy
1982,1149,Female,Pacific,$25000 or more,Very happy,Not applicable
1982,1150,Female,Mountain,$20000 - 24999,Very happy,Very happy
1982,1151,Male,W. nor. central,$15000 - 19999,Very happy,Not applicable
1982,1152,Male,E. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1982,1153,Female,Mountain,$15000 - 19999,Pretty happy,Very happy
1982,1154,Female,W. sou. central,$10000 - 14999,Very happy,Very happy
1982,1155,Male,Mountain,$15000 - 19999,Pretty happy,Pretty happy
1982,1156,Female,Mountain,$15000 - 19999,Pretty happy,Pretty happy
1982,1157,Female,South atlantic,$7000 to 7999,Pretty happy,Not applicable
1982,1158,Female,Middle atlantic,$15000 - 19999,Pretty happy,Very happy
1982,1159,Male,E. nor. central,Refused,Pretty happy,Very happy
1982,1160,Female,Mountain,$8000 to 9999,Pretty happy,Not applicable
1982,1161,Female,Pacific,$15000 - 19999,Pretty happy,Not applicable
1982,1162,Male,Mountain,$25000 or more,Pretty happy,No answer
1982,1163,Female,Pacific,$20000 - 24999,Pretty happy,Very happy
1982,1164,Female,Pacific,$8000 to 9999,Not too happy,Not applicable
1982,1165,Male,Pacific,$10000 - 14999,Pretty happy,Pretty happy
1982,1166,Female,Pacific,Lt $1000,Very happy,Not applicable
1982,1167,Male,Pacific,$15000 - 19999,Not too happy,Not applicable
1982,1168,Female,Pacific,$10000 - 14999,Pretty happy,Not applicable
1982,1169,Male,Pacific,$10000 - 14999,Not too happy,Not applicable
1982,1170,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1982,1171,Female,Pacific,Refused,Pretty happy,Not applicable
1982,1172,Male,Mountain,$20000 - 24999,Pretty happy,Pretty happy
1982,1173,Female,Pacific,$10000 - 14999,Very happy,Very happy
1982,1174,Female,W. sou. central,Refused,Pretty happy,Very happy
1982,1175,Female,Pacific,$20000 - 24999,Pretty happy,Very happy
1982,1176,Male,Pacific,$10000 - 14999,Pretty happy,Very happy
1982,1177,Female,Middle atlantic,$15000 - 19999,Very happy,Very happy
1982,1178,Female,Middle atlantic,$20000 - 24999,Very happy,Very happy
1982,1179,Male,E. nor. central,$25000 or more,Pretty happy,Very happy
1982,1180,Male,Pacific,$25000 or more,Very happy,Very happy
1982,1181,Male,Pacific,$10000 - 14999,Pretty happy,Not applicable
1982,1182,Male,Pacific,$25000 or more,Very happy,Pretty happy
1982,1183,Male,Pacific,$20000 - 24999,Pretty happy,Not applicable
1982,1184,Male,Pacific,$15000 - 19999,Very happy,Not applicable
1982,1185,Female,Pacific,$25000 or more,Pretty happy,Very happy
1982,1186,Female,Pacific,$15000 - 19999,Pretty happy,Very happy
1982,1187,Female,E. nor. central,$20000 - 24999,Pretty happy,Pretty happy
1982,1188,Female,Middle atlantic,$25000 or more,Pretty happy,Not applicable
1982,1189,Female,Foreign,Don't know,Very happy,Very happy
1982,1190,Male,E. nor. central,$7000 to 7999,Pretty happy,Not applicable
1982,1191,Female,W. sou. central,$10000 - 14999,Very happy,Very happy
1982,1192,Male,Pacific,$25000 or more,Pretty happy,Not applicable
1982,1193,Male,Pacific,$25000 or more,Pretty happy,Very happy
1982,1194,Female,Pacific,$25000 or more,Very happy,Very happy
1982,1195,Female,Pacific,$25000 or more,Pretty happy,Very happy
1982,1196,Female,Pacific,$25000 or more,Very happy,Very happy
1982,1197,Male,Pacific,$20000 - 24999,Pretty happy,Not applicable
1982,1198,Male,Foreign,$25000 or more,Pretty happy,Not applicable
1982,1199,Male,W. sou. central,$10000 - 14999,Pretty happy,Very happy
1982,1200,Female,W. sou. central,$25000 or more,Pretty happy,Not applicable
1982,1201,Male,E. nor. central,$20000 - 24999,Pretty happy,Not applicable
1982,1202,Female,Pacific,$8000 to 9999,Pretty happy,Not applicable
1982,1203,Male,Pacific,Refused,Pretty happy,No answer
1982,1204,Male,Pacific,$25000 or more,Pretty happy,Pretty happy
1982,1205,Female,Pacific,$10000 - 14999,Very happy,Not applicable
1982,1206,Male,Pacific,$25000 or more,Pretty happy,Very happy
1982,1207,Female,W. sou. central,$3000 to 3999,Pretty happy,Not applicable
1982,1208,Male,W. nor. central,$10000 - 14999,Not too happy,Not applicable
1982,1209,Male,E. nor. central,$15000 - 19999,Pretty happy,Not applicable
1982,1210,Female,W. nor. central,$20000 - 24999,Very happy,Pretty happy
1982,1211,Male,Pacific,$25000 or more,Very happy,Not applicable
1982,1212,Male,Pacific,$10000 - 14999,Pretty happy,Pretty happy
1982,1213,Female,Pacific,$25000 or more,Pretty happy,Very happy
1982,1214,Female,Pacific,$25000 or more,Very happy,Very happy
1982,1215,Male,W. nor. central,$25000 or more,Pretty happy,Very happy
1982,1216,Female,Pacific,$20000 - 24999,Pretty happy,Not applicable
1982,1217,Female,Foreign,$6000 to 6999,Very happy,Not applicable
1982,1218,Female,Pacific,$25000 or more,Very happy,Very happy
1982,1219,Female,Pacific,$10000 - 14999,Very happy,Not applicable
1982,1220,Female,Pacific,Don't know,Pretty happy,Not applicable
1982,1221,Male,Pacific,$25000 or more,Pretty happy,Not applicable
1982,1222,Male,W. nor. central,$25000 or more,Pretty happy,Pretty happy
1982,1223,Male,South atlantic,$20000 - 24999,Very happy,Very happy
1982,1224,Male,E. sou. central,$10000 - 14999,Very happy,Very happy
1982,1225,Male,W. nor. central,$10000 - 14999,Pretty happy,Not applicable
1982,1226,Female,Pacific,$6000 to 6999,Very happy,Not applicable
1982,1227,Female,E. nor. central,$25000 or more,Very happy,Very happy
1982,1228,Female,Mountain,$20000 - 24999,Pretty happy,Pretty happy
1982,1229,Male,Pacific,$10000 - 14999,Pretty happy,Not applicable
1982,1230,Female,Pacific,$10000 - 14999,Pretty happy,Pretty happy
1982,1231,Female,Pacific,$20000 - 24999,Pretty happy,Very happy
1982,1232,Female,E. nor. central,$20000 - 24999,Pretty happy,Very happy
1982,1233,Male,Pacific,$10000 - 14999,Pretty happy,Pretty happy
1982,1234,Female,Mountain,$1000 to 2999,Pretty happy,Not applicable
1982,1235,Female,Pacific,Lt $1000,Not too happy,Not applicable
1982,1236,Female,Pacific,$10000 - 14999,Pretty happy,Not applicable
1982,1237,Female,Pacific,$20000 - 24999,Pretty happy,Not applicable
1982,1238,Male,Pacific,$20000 - 24999,Pretty happy,Pretty happy
1982,1239,Male,E. nor. central,$6000 to 6999,Very happy,Very happy
1982,1240,Female,Pacific,$10000 - 14999,Very happy,Very happy
1982,1241,Female,Pacific,$10000 - 14999,Not too happy,Not applicable
